"","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","Cancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","Cancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer","NonCancer"
"ENSG00000000938",5.54463548096348,6.44371905570517,4.9489443078029,4.38355724227352,5.03730451277941,6.14523143918288,2.3581618860591,4.94885310377107,5.35877253507134,5.55992139879765,1.16661876777392,3.70657048096135,5.20834858821737,8.07765465701675,-2.25686671973503,0.202458831005054,4.56044927073369,4.42078841576186,-2.56630598258707,4.10203791065284,0.583385125391399,4.73503402316145,6.2958369473921,7.18617149588857,4.08834535169787,5.63097929226867,5.90694765183175,6.38158464789715,4.00145430383572,5.02876350603748,5.2325226336747,6.43220786791074,6.36934688458023,4.05279028078455,5.04992215668925,5.60648722374572,3.85873006570214,4.02853529396817,7.00455098986629,4.1284049158008,5.05093383356865,4.56146527077535,7.40059544911161,5.52981945983742,4.77926221229717,2.49898391364721,6.54480820521352,3.64219395223685,4.46888882565481,4.24810128151885,4.39500677108067,4.58545937949273,3.99829592094566,6.12869159288134,6.19502941012409,4.78226299334544,4.99833254421522,6.72170798572081,6.35374605552026,6.81753516972934,4.60572546619488,5.75573388688295,7.36263456130558,5.05957516937908,3.82446635053279,5.24747890212024,6.78035035025394,4.52411984914607,5.44303914218855,-2.35908498383621,2.84236280367973
"ENSG00000001036",4.50627500726472,3.71388292559707,4.22766033586896,4.87360809596921,4.222144188233,4.80127703796551,0.521660618341981,4.02927178622637,4.10960078261929,4.62845278046847,4.88403156451873,4.53373388409913,4.5942397418367,5.14873775507823,-0.671904219013873,0.202458831005054,4.9705375540408,4.05821833637715,-2.56630598258707,-0.541818279121883,4.49027572099992,4.78312831136249,5.69884189117605,5.750506035223,5.09793140052707,3.66792087065681,3.73886635037312,5.53798620523972,5.75387355040844,5.29471539525357,5.14267601629222,5.01645775066686,4.98030459383433,3.60533130381333,4.4218909340762,4.69575456184281,4.54462147527408,3.6874983761331,3.55153135974323,3.41470910095744,4.65039590398492,1.94255543813086,4.64184116618012,3.78439228692302,4.77926221229717,5.07123536261882,4.73566222762993,4.45412160408428,3.62089191909986,4.40507062785725,3.52201204781599,4.63579105504287,3.86294406805078,4.05097892418409,3.56621261981351,4.30265349277052,4.33994897402469,4.42035343079597,3.74387821303628,2.51698072563455,4.60572546619488,4.3328768831448,4.40358418948485,3.11431813397351,3.17238965395309,2.6686949763282,2.74750709356693,4.61875672328415,4.86985380924375,3.06717977086589,2.50794376460917
"ENSG00000001461",4.71502775205875,5.74901114900067,3.10566981149035,5.55887550248605,4.60486396723912,4.6117992391018,5.23000553456842,4.64291704165161,5.14464772971849,4.33232068645845,5.93785426402488,3.79676828993293,4.26493211658374,6.2267402670795,4.77655628180242,6.61184976714276,6.92904542512234,6.96591693819043,3.94148865761163,6.17242723854424,4.67084796664174,4.5803114283628,3.34761948949465,3.03334892213697,2.71750765632957,4.111050676965,4.51509137498656,4.3330547539695,1.88597708641578,3.65025188278375,4.23795651972533,4.06688717751,5.74449165673556,4.05279028078455,5.10541726928095,2.85925329412569,4.82702120597481,5.20687253522668,4.42279804562102,4.87937736796089,5.6212495583254,4.26448353301822,4.97626020525068,3.94485695911627,4.15411062146032,6.82470358769695,5.54122386786448,5.89853370549663,5.58964098511542,6.0766208135745,4.41260083109541,3.69237458340924,5.15137525095005,2.99483584614655,5.50713338705948,4.62863980423223,4.07343399945593,5.34836731797024,5.20917048309482,4.15743833894741,5.56725131838025,-1.77564757363336,5.23231276233502,4.37990824471106,5.37998507336146,4.80114527235185,5.00737422032204,3.59567311017111,5.42718519098771,5.90300986153397,6.22755579202511
"ENSG00000001629",3.63036535498936,1.65159864734272,3.41052439301877,4.77818853089053,4.5765749228077,3.63689022006463,-2.28569430371562,3.53687540424129,3.8512887870279,0.835894860338947,3.69499774012871,4.24422726690415,1.7868848197791,-1.72162696450517,3.89288039976965,5.24685295036351,4.39299252488213,2.99629058723395,-2.56630598258707,3.36507231648664,2.90531322027876,4.87475878682806,3.61680612231003,3.48080789910819,4.62771098597892,3.98660330604051,4.01016837219052,2.71739545602542,-2.02091350919274,0.780835992593896,2.46807630308638,2.58805302765019,4.67545001230591,4.78975587495076,4.33169312510463,2.85925329412569,3.03560782778622,4.53549528268805,1.65341097376244,3.90013592812769,3.46597133284749,4.3446538817022,4.36620672356669,4.45181694783615,4.7144110679472,3.86576624431884,-1.37286222914824,2.90522835807064,1.95104052079219,4.24810128151885,3.98879312218884,4.98547984313085,2.4557686865449,2.57214477432428,3.10900566629072,3.10710268365271,2.71979704484123,4.44566451932515,2.96319124144076,4.1019432263557,3.52772295419361,3.95227288092983,3.82934809535675,2.68901229924084,4.96989679005435,4.20347171988114,4.280939293648,3.59567311017111,3.99342849436228,3.83073957504381,2.50794376460917
"ENSG00000001631",4.3986951200649,4.66216788905291,4.9489443078029,4.72800277372231,2.31068086283466,3.30247118099407,-2.28569430371562,5.2316611829152,4.94704776983333,4.99432422294343,1.16661876777392,4.94219872945449,3.83751089284906,5.35518863254566,5.88779152309685,4.72602078706207,5.42590714735487,4.24021617012004,-2.56630598258707,5.13060706284961,5.44136612051897,4.06184433942856,3.01641358101927,2.07641764402886,4.89294966273944,5.54533426518849,5.38867999544425,3.785566958667,3.65151183277876,4.35652067972704,4.49555703950849,3.92828193928049,4.61773451444962,4.23336252642637,5.04992215668925,5.33730059093033,3.58309562308872,6.08438852870169,5.48860010401677,5.73663719584481,5.49839281053987,4.91656022959791,5.07247552050998,3.94485695911627,4.81062638320651,5.30633883570482,1.34960379532285,1.32026585734949,4.83145890503952,3.23142254037222,-2.9537213831504,0.644011561847841,3.28975873510597,-0.660515982466,4.5926848311747,2.67646832932285,-2.03509045732223,5.75499257743288,3.45914873610317,-1.57048211561579,3.8172295713886,3.43380579199559,3.76375975372917,4.43009400187928,3.63805322630191,4.50223383018946,2.20001929826443,0.963404894671594,4.33673024004221,-2.35908498383621,3.91511914611504
"ENSG00000002549",5.98984945450033,6.40648614950619,5.49394040120641,4.136642501803,5.54041525951228,5.99807774539922,6.89172523427361,5.07208486976535,5.14464772971849,6.0783884877319,5.0284214738539,6.06525712585883,5.92204440306073,5.94370895268,5.09186143449605,2.52438692589242,1.83005633049097,5.69867594969001,6.76236894474088,-0.541818279121883,6.07523822172107,4.5248163157711,6.44159563770366,6.47679483660157,4.19937666408662,5.27433648104428,5.6042618846638,-2.23680085436145,5.17875883564363,5.23521438350491,5.08354089220488,5.60711136346587,5.44596816618314,4.39382719861962,4.99220665883296,6.76614388973421,5.16805812380987,4.82500189988304,5.83060397566879,4.1284049158008,4.96073602459707,5.64299515627195,6.08021116928958,5.76301863613046,7.16931302810399,6.23404997489794,5.43191414880759,6.2218032184638,5.52503190369235,5.63170627296104,6.64060322077444,5.69633259697792,6.01435577184176,7.04960164957745,6.45758379764007,4.89437335966698,4.44064297364416,6.35171852746988,5.24003144679958,6.47936643383477,5.0245545446361,6.82797877135283,5.13191086537718,6.70183633959842,5.87810431413486,5.97948251361037,6.68445492303162,5.65270405520749,5.82820611188526,4.53573277947173,4.82987185949653
"ENSG00000002586",10.1935301917182,10.8603350746073,10.4822421224299,11.190188319531,9.75559714039499,10.1877696609618,11.3519494491939,10.8503733845977,10.855040921889,10.9572433574747,10.8128312837385,11.2653614799935,11.2104509858594,10.7819503541975,9.74629978693014,11.2282904993371,10.3688625337417,11.2487900400429,11.8949816041973,11.1328153826454,11.4186460440189,9.84178547364434,10.7013318338118,11.2550092710769,11.5818005526241,10.2119518925401,9.77443970220084,12.2304862691988,11.7537706147271,11.0958984434749,10.7912754441054,11.7911146137098,9.99099919463057,11.1296058778354,11.3608467423942,10.7566666114307,11.198967213374,10.664014766913,10.4128452651948,11.0879828375673,11.0773315236333,11.0802785111811,9.48678567163079,10.3051842676506,10.9001409361668,10.8225720506814,11.2126167691277,11.5347199040368,12.1396293664995,10.1228530314353,10.0086324254849,10.6920029623088,11.5479513003412,10.5777693235182,10.7322981936331,12.008066849331,10.2831698863902,10.5982359540172,11.0169431135106,10.4769826577026,10.2284709075759,11.3595807339565,10.5490791521066,9.99096569436694,11.7474786354861,10.8109984389188,11.3366161236407,11.115436165479,11.3615765749314,12.0092168449143,12.1971061616759
"ENSG00000003056",5.42177873317794,5.9862005722652,4.90085001960185,5.43920527182343,5.54041525951228,4.3334980766147,4.19003912725077,6.05937381801579,5.85834354456185,5.8802889796974,6.27031007081615,4.42479951254597,5.16935445660151,6.40249434732401,6.23097331408802,5.87488417297655,5.24098943143708,6.42784317329581,6.20518348691353,5.86757265701582,4.49027572099992,6.55975010588049,4.90770732157677,5.37265909525257,5.13565106647623,6.16660202949594,6.11290647777978,5.45668610313787,2.73397399297073,5.99627565328858,5.13104131580881,6.29790677619915,6.16289600711281,5.87382013973923,6.29636005199235,5.00609468245496,5.99337959239693,5.39531762463979,6.57335772219641,4.83694210164049,5.49839281053987,6.05406375334785,7.04506936316933,5.47828915919734,5.14183229168188,5.76675623848767,6.29814801213021,5.75767116965679,5.17810942933812,5.90844559408214,6.20362555221244,5.61503249487608,6.31158509755915,5.6432647657111,5.35048392875807,5.04772413657378,6.93932413248329,4.34164145478193,5.92096300605146,5.54845895710771,6.18052810069582,5.51897317525826,5.88438945891471,4.50224378763511,6.09295518645869,5.35483631141673,5.06943518845429,5.60726108444632,5.31104359637856,7.03537771077411,5.79816299976919
"ENSG00000003402",6.09698530459619,6.01121903230204,5.35805697312464,6.16048924375737,6.22670247019531,6.14523143918288,6.73389642464226,6.37190877794584,7.07670890106192,6.38168676377943,6.63860655827831,6.52716123017565,7.22270388119444,7.79604242362864,5.82528232161884,5.98381854452971,5.99267653131005,5.75211520865147,5.96896939403374,6.05809456306525,6.3113055799546,6.33620675106386,5.69884189117605,5.3376829570096,5.62107789364647,6.28758446248296,6.08055770008191,5.57698033685559,5.21749123013234,5.40682576157511,5.34758101089982,5.56873955259335,5.99170935710658,6.21198887563381,5.91665562582578,6.59105718317612,6.07663509604628,6.15564721187151,6.17697292981945,5.59103187359791,6.02890752723865,6.19048295157444,6.04901654768599,5.8867540045527,6.86018220768074,6.83977103578589,5.60212588284369,7.08403151085941,6.79081692054218,6.02915945986823,6.55209017076919,6.20971950548905,6.67704056798744,6.07554764540581,6.2680217685661,6.6082335935704,6.70974338017731,6.35171852746988,5.95855979270911,6.05156970384058,6.60192389603503,6.14916492997242,6.75112292805125,6.34436412785339,6.9943913519751,6.21934311252403,6.37609652668834,5.78102815218303,5.24022225918886,5.18780947605143,5.20355032901432
"ENSG00000003436",7.78523909030821,9.14486545769134,9.07755143106444,8.91835191719361,8.16034658975023,9.16800274684153,9.0657971056044,9.02981486736995,9.6108832918689,8.89349985342394,9.28436175458147,8.50224359797132,9.20955033342713,3.40765605243979,7.39955814354275,8.28460787235893,8.38603976424036,9.19579074193573,9.05894623915981,8.20301555837766,9.12641694564664,7.91578605508812,8.1562949563043,7.6631470709242,9.10567343583786,8.23042057442219,8.44121818945799,8.1988694065751,8.27714905852628,8.47967419896177,8.16922723398079,7.3832982674298,7.98886660733776,8.50784345891127,8.23236519797799,7.91608451672237,7.87819992990037,7.44594369770976,7.51365147607214,7.47475648462738,7.64316433475384,7.8597143691932,7.58044062151597,8.20868209944006,8.47236617713692,8.23547485900477,7.76924482815431,8.49574610262497,8.18683719365065,9.34091916365678,9.098507010197,8.45195187447582,8.34053647125528,8.61793347575448,7.96867205301288,9.07251461186909,8.41715078310858,8.73395887756068,8.90359896320205,8.58812757259868,8.69140058101958,8.55862571167383,8.07727560880034,9.06405173058777,9.12325794662222,7.99339482046562,8.35911436650599,8.2469563178459,7.65014683507405,7.32566363658542,7.83456864619793
